WELL,MD,POROSITY,PERMEABILITY,PTS,RT
WELL_1,4038.350098,0.201,1973.924,34.96977981,MEGA
WELL_1,4038.850098,0.203,1158.927,25.35060911,MEGA
WELL_1,4039.350098,0.207,1935.1169,33.69655158,MEGA
WELL_1,4039.850098,0.206,1003.681,23.00154429,MEGA
WELL_1,4040.350098,0.19,901.498,23.15667349,MEGA
WELL_1,4040.850098,0.201,581.095,17.03789447,MEGA
WELL_1,4041.350098,0.208,2392.0779,38.01133878,MEGA
WELL_1,4041.850098,0.208,3573.886,48.13267599,MEGA
WELL_1,4042.350098,0.2,1295.686,27.41952621,MEGA
WELL_1,4042.850098,0.206,1245.464,26.11400331,MEGA
WELL_1,4043.350098,0.217,933.882,21.07805283,MEGA
WELL_1,4043.899902,0.178,248.89,11.49448445,MEGA
WELL_1,4044.350098,0.209,1006.54,22.75402649,MEGA
WELL_1,4044.850098,0.212,1205.4709,24.98998377,MEGA
WELL_1,4045.350098,0.214,1248.147,25.30036306,MEGA
WELL_1,4045.850098,0.204,1480.0699,29.14778011,MEGA
WELL_1,4046.350098,0.205,928.064,22.05872898,MEGA
WELL_1,4046.850098,0.212,363.974,12.35819913,MEGA
WELL_1,4047.350098,0.223,514.459,14.49902673,MEGA
WELL_1,4047.850098,0.203,93.087,5.75479921,MACRO
WELL_1,4048.350098,0.212,195.601,8.577722769,MACRO
WELL_1,4048.850098,0.209,270.534,10.5084838,MEGA
WELL_1,4049.350098,0.222,114.086,6.003488097,MACRO
WELL_1,4049.850098,0.217,92.916,5.426702419,MACRO
WELL_1,4050.350098,0.222,182.239,7.906934267,MACRO
WELL_1,4053.649902,0.228,52.763,3.727983889,MACRO
WELL_1,4054.149902,0.234,148.48,6.697893828,MACRO
WELL_1,4054.649902,0.229,139.654,6.582540356,MACRO
WELL_1,4055.149902,0.224,65.374,4.293820515,MACRO
WELL_1,4055.649902,0.221,73.953,4.670797981,MACRO
WELL_1,4056.149902,0.235,163.287,7.056882945,MACRO
WELL_1,4056.649902,0.223,62.758,4.208177269,MACRO
WELL_1,4057.149902,0.23,104.178,5.519750492,MACRO
WELL_1,4057.649902,0.225,128.787,6.37263517,MACRO
WELL_1,4058.149902,0.211,59.682,4.285641701,MACRO
WELL_1,4058.649902,0.215,92.662,5.461492636,MACRO
WELL_1,4059.149902,0.235,178.308,7.431659691,MACRO
WELL_1,4059.649902,0.22,89.764,5.254977921,MACRO
WELL_1,4060.149902,0.222,107.682,5.802981428,MACRO
WELL_1,4060.649902,0.225,92.424,5.243191783,MACRO
WELL_1,4061.149902,0.226,148.799,6.910971722,MACRO
WELL_1,4061.649902,0.233,184.059,7.627798894,MACRO
WELL_1,4062.149902,0.236,196.932,7.849861763,MACRO
WELL_1,4062.649902,0.09,0.033,0.108747847,MICRO
WELL_1,4063.149902,0.2,14.103,1.921786991,MESO
WELL_1,4063.649902,0.223,38.696,3.16673885,MACRO
WELL_1,4064.149902,0.229,30.514,2.691458196,MACRO
WELL_1,4064.649902,0.231,38.748,3.07418382,MACRO
WELL_1,4065.649902,0.224,34.258,2.936471371,MACRO
WELL_1,4066.149902,0.197,24.507,2.694534753,MACRO
WELL_1,4066.649902,0.195,34.786,3.340072836,MACRO
WELL_1,4067.149902,0.217,78.454,4.912838226,MACRO
WELL_1,4067.649902,0.234,136.78,6.382323121,MACRO
WELL_1,4068.149902,0.23,81.264,4.769658536,MACRO
WELL_1,4068.649902,0.206,26.147,2.693163868,MACRO
WELL_1,4069.149902,0.216,37.368,3.189054001,MACRO
WELL_1,4069.649902,0.231,52.942,3.69346384,MACRO
WELL_1,4070.149902,0.12,0.076,0.138517867,MICRO
WELL_1,4070.649902,0.144,0.062,0.104978683,MICRO
WELL_1,4070.800049,0.125,0.102,0.158974201,MICRO
WELL_1,4071.350098,0.21,5.989,1.113491396,MESO
WELL_1,4071.850098,0.105,0.39,0.406666534,MICRO
WELL_1,4072.350098,0.121,8.28,2.169078542,MACRO
WELL_1,4072.850098,0.223,816.529,19.02409067,MEGA
WELL_1,4073.350098,0.233,4359.9912,49.04808147,MEGA
WELL_1,4073.850098,0.238,1872.053,29.29277902,MEGA
WELL_1,4074.350098,0.216,3035.3259,42.32224449,MEGA
WELL_1,4074.850098,0.153,208.405,11.80170044,MEGA
WELL_1,4075.350098,0.017,0.004,0.132709926,MICRO
WELL_1,4075.850098,0.018,0.005,0.144025343,MICRO
WELL_1,4076.350098,0.019,0.006,0.15300648,MICRO
WELL_1,4076.850098,0.057,0.166,0.417203248,MICRO
WELL_1,4077.350098,0.165,1.338,0.568133067,MESO
WELL_1,4077.75,0.123,4.095,1.413602422,MESO
WELL_1,4078.350098,0.224,535.554,14.78842875,MEGA
WELL_1,4078.850098,0.199,797.466,20.70130392,MEGA
WELL_1,4079.350098,0.079,3.966,2.033675172,MACRO
WELL_1,4079.699951,0.05,0.019,0.130616197,MICRO
WELL_1,4080.050049,0.177,213.922,10.56674684,MEGA
WELL_1,4080.75,0.23,5276.5488,55.48925904,MEGA
WELL_1,4081.350098,0.223,1172.8781,23.53885264,MEGA
WELL_1,4081.850098,0.215,1205.775,24.6920837,MEGA
WELL_1,4082.350098,0.226,3020.9971,40.58622792,MEGA
WELL_1,4082.949951,0.205,1193.004,25.56878558,MEGA
WELL_1,4083.350098,0.203,1368.416,27.95243792,MEGA
WELL_1,4083.850098,0.203,465.413,14.82560644,MEGA
WELL_1,4084.350098,0.236,353.99,11.08181086,MEGA
WELL_1,4084.649902,0.224,477.273,13.81976409,MEGA
WELL_1,4085.149902,0.224,239.377,9.210562949,MACRO
WELL_1,4085.649902,0.202,27.69,2.833102679,MACRO
WELL_1,4086.149902,0.191,452.629,15.37317913,MEGA
WELL_1,4086.850098,0.201,664.501,18.43597209,MEGA
WELL_1,4087.350098,0.207,184.097,8.449851718,MACRO
WELL_1,4087.850098,0.215,250.204,9.794227526,MACRO
WELL_1,4088.300049,0.207,1555.8199,29.63969313,MEGA
WELL_1,4088.699951,0.177,791.673,22.80846445,MEGA
WELL_1,4089.25,0.152,35.196,4.170856094,MACRO
WELL_1,4089.75,0.194,260.598,10.96302235,MEGA
WELL_1,4090.25,0.197,948.591,23.12616567,MEGA
WELL_1,4090.75,0.192,791.756,21.26177216,MEGA
WELL_1,4091.25,0.176,315.128,13.33482765,MEGA
WELL_1,4091.75,0.176,636.09,20.15329087,MEGA
WELL_1,4092.25,0.148,382.966,17.36969076,MEGA
WELL_1,4092.75,0.221,652.755,16.80808352,MEGA
WELL_1,4093.25,0.202,1399.96,28.45066392,MEGA
WELL_1,4093.75,0.211,357.048,12.26939652,MEGA
WELL_1,4094.25,0.209,474.919,14.63005305,MEGA
WELL_1,4094.75,0.179,1.783,0.626919778,MESO
WELL_1,4095.25,0.205,6.535,1.196765531,MESO
WELL_1,4095.75,0.215,9.344,1.417250029,MESO
WELL_1,4096.25,0.236,28.869,2.538270444,MACRO
WELL_1,4096.75,0.229,21.275,2.177155504,MACRO
WELL_1,4097.25,0.23,24.775,2.372177507,MACRO
WELL_1,4097.75,0.227,20.445,2.142983775,MACRO
WELL_1,4098.25,0.227,15.559,1.825067316,MESO
